+----------------------------------+-------------+-----------------+
|            Algorithm             | Precision@5 |      NDCG@5     |
+----------------------------------+-------------+-----------------+
|   /(/(#20(),#38()),exp(#22()))   |    0.064    | 0.0446742205959 |
| /(/(#20(),#38()),+(#38(),#22())) |    0.064    | 0.0474375448875 |
|   /(/(#20(),#22()),log(#38()))   |    0.064    | 0.0486626240915 |
|  /(sqrt(#36()),+(#38(),#38()))   |    0.064    | 0.0487715336277 |
|   /(/(#36(),#38()),exp(#36()))   |    0.072    | 0.0510104480061 |
|   /(/(#20(),#38()),log(#38()))   |     0.08    | 0.0511233939241 |
|  /(sqrt(#20()),+(#38(),#38()))   |     0.08    | 0.0517308892145 |
| /(+(#20(),#20()),*(#38(),#22())) |     0.08    | 0.0527209403065 |
|  *(/(1(),#38()),/(#20(),#22()))  |    0.072    | 0.0534995040876 |
|   /(log(#20()),+(#20(),#38()))   |    0.088    |  0.054058598787 |
|   *(sqrt(#36()),/(1(),#38()))    |    0.072    | 0.0545234460048 |
|  /(/(#20(),#38()),sqrt(#22()))   |     0.08    | 0.0551265443694 |
|   *(sqrt(#20()),/(1(),#38()))    |     0.08    | 0.0553269725903 |
|   /(log(#36()),+(#36(),#38()))   |     0.08    | 0.0557428153918 |
|   /(/(#20(),#38()),exp(#20()))   |     0.08    | 0.0572875823768 |
|   /(/(#36(),#38()),log(#38()))   |     0.08    | 0.0573755654905 |
|  /(/(#36(),#38()),+(1(),#36()))  |     0.08    | 0.0578741512446 |
|   /(/(#20(),#38()),exp(#38()))   |    0.088    | 0.0580597659575 |
|   /(log(#20()),+(#36(),#38()))   |     0.08    | 0.0580970628363 |
|   /(log(#20()),+(#20(),#22()))   |    0.088    | 0.0582564676362 |
|   /(log(#20()),*(#38(),#22()))   |    0.088    | 0.0602912840534 |
|    /(sqrt(#20()),log(#38()))     |    0.088    | 0.0605057888404 |
|  /(/(#20(),#38()),sqrt(#36()))   |    0.088    | 0.0610357122076 |
|  /(/(#20(),#38()),sqrt(#38()))   |    0.088    | 0.0612843526216 |
|   /(exp(#20()),+(#38(),#38()))   |    0.088    | 0.0614036787401 |
| /(/(#36(),#36()),+(#20(),#22())) |    0.104    | 0.0616125160516 |
|  /(sqrt(#20()),+(#20(),#22()))   |    0.112    | 0.0620267088437 |
|   /(log(#36()),+(#38(),#38()))   |    0.088    | 0.0620759768869 |
|   /(exp(#20()),+(#36(),#38()))   |    0.096    | 0.0621998969998 |
|    /(sqrt(#36()),log(#38()))     |    0.088    | 0.0622124454866 |
|   /(/(#20(),#36()),exp(#38()))   |    0.096    | 0.0622559241243 |
|   /(exp(#20()),+(#20(),#22()))   |    0.112    | 0.0622698097192 |
|  /(/(#36(),#38()),sqrt(#38()))   |    0.088    | 0.0627110312408 |
|   /(exp(#36()),+(#36(),#22()))   |    0.104    | 0.0629065375082 |
|   /(/(#36(),#38()),exp(#38()))   |    0.088    | 0.0629910092678 |
| /(/(#36(),#20()),+(#36(),#22())) |    0.104    | 0.0630829733915 |
|   /(/(#20(),#38()),exp(#36()))   |    0.096    | 0.0631272771399 |
|  /(+(1(),#20()),+(#38(),#38()))  |    0.096    | 0.0631918829277 |
|  /(/(#20(),#38()),+(1(),#22()))  |    0.088    | 0.0636608749342 |
|   /(log(#20()),+(#36(),#22()))   |    0.096    | 0.0636776892717 |
| /(/(#20(),#36()),+(#20(),#22())) |    0.104    | 0.0638615371727 |
| /(+(#36(),#20()),*(#38(),#22())) |    0.096    | 0.0641814885807 |
|   /(/(#36(),#38()),exp(#22()))   |    0.088    | 0.0647303916423 |
| /(/(#36(),#38()),+(#38(),#22())) |    0.088    | 0.0649757697782 |
|  /(+(1(),#20()),+(#20(),#22()))  |    0.112    | 0.0650472771352 |
|   /(/(#36(),#36()),exp(#38()))   |    0.104    | 0.0650734437189 |
|   /(log(#36()),+(#36(),#22()))   |    0.096    | 0.0653423687534 |
|    /(exp(1()),+(#20(),#22()))    |    0.112    |  0.065566319656 |
|   /(/(#20(),#36()),exp(#22()))   |    0.104    | 0.0663142403392 |
|   /(exp(#36()),+(#36(),#38()))   |    0.104    |  0.067036776996 |
|   /(exp(#20()),+(#36(),#22()))   |    0.104    |  0.067036776996 |
|   +(sqrt(#36()),/(1(),#38()))    |    0.096    | 0.0670719807123 |
|    /(exp(1()),+(#36(),#22()))    |    0.104    | 0.0671234472184 |
|    *(exp(#20()),/(1(),#38()))    |    0.096    | 0.0671555911171 |
|  /(+(1(),#36()),+(#38(),#38()))  |    0.096    |  0.067195033373 |
|   /(/(#36(),#38()),exp(#20()))   |    0.088    | 0.0672247908993 |
|   /(+(1(),#20()),sqrt(#38()))    |    0.096    | 0.0675092749641 |
|    *(log(#36()),/(1(),#38()))    |    0.096    |  0.067827889264 |
|  /(/(#20(),#22()),+(1(),#36()))  |    0.088    | 0.0679341548983 |
| /(/(#36(),#36()),+(#36(),#22())) |    0.104    | 0.0680065236101 |
|  /(sqrt(#36()),+(#36(),#22()))   |    0.112    | 0.0684398663751 |
|   /(+(1(),#36()),sqrt(#38()))    |    0.096    | 0.0684895798573 |
|  *(/(1(),#38()),/(#36(),#22()))  |    0.096    | 0.0685197828227 |
|   /(exp(#36()),+(#20(),#22()))   |    0.112    | 0.0685219812856 |
|   +(sqrt(#20()),/(1(),#38()))    |    0.104    | 0.0686842740444 |
